Anio,Entidad,Producto,Nomunidad,Volumenproduccion
2021,Veracruz de Ignacio de la Llave,Arroz,Tonelada,10563880.43
2021,Veracruz de Ignacio de la Llave,Frijol,Tonelada,5911642.07
2021,Veracruz de Ignacio de la Llave,Leche,Miles de lts,231523240.5
2021,Veracruz de Ignacio de la Llave,Maíz,Tonelada,328382490.4
2021,Veracruz de Ignacio de la Llave,Trigo,Tonelada,86325.22
2021,Yucatán,Frijol,Tonelada,128127.08
2021,Yucatán,Leche,Miles de lts,899826.77
2021,Yucatán,Maíz,Tonelada,74361304.35
2021,Zacatecas,Frijol,Tonelada,106781827.1
2021,Zacatecas,Leche,Miles de lts,33503712.79
2021,Zacatecas,Maíz,Tonelada,655940217.1
2021,Zacatecas,Trigo,Tonelada,5429246.89
